icd10_code,text
Y,rutina militar propiedad tiempos militares militar civiles repeticion lesiones paz operaciones ejercicios ocurren
S,lado partes luxacion derecho escapular cintura
D,talasemia falciforme crisis dolorosa
W,escalones escaleras
M,patologica derecho fractura fractura cronica
S,extremo harris derecho fracturas inferior fisaria 1 radio
I,intracerebral hemorragia parafasias
S,destruccion destructivo izquierdo
F,discapacidad intelectual otros tipos
Z,maltrato antecedente
Z,maligna antecedentes respiratorio neoplasia organo tratado
G,fisher miller encefalomielorradiculitis landry postinfecciosa segmentariamente posinfecciosa febril
H,lagoftalmos parpados dcho
R,caderas cadera
C,asesinas grandes cutaneo
V,transporte vehiculo pedales
M,enfermedades reiter tobillo pie
U,sindrome relacionado
R,febril febris
B,enterococcus d enterococos estreptococo enterococos
L,transfusion sanguinea conjuntivo
H,ceguera ee
A,glandulas suprarrenales tuberculosis suprarrenales
P,transfusion alterado
F,animo afeccion trastorno rasgos a fisiologica
C,izquierdo maligna neoplasia ocular
M,osteoartritis
K,necrosis apoplejia
I,derivacion pierna ulcera pie injerto izquierda
L,forunculo sitios otros
O,sangrado uterina
N,aguda infeccioso inflamacion adenosalpingitis hematosalpinx inflamacion
R,inconsciencia gritos 25 años edad puntuacion 3 escala coma verbal
P,micoplasma
C,megacarioblastica leucemia
N,hipoproteinemia proliferativa aislada glomerulonefritis
O,iii segundo trabajo parto parto prematuro prematuro 2o prematuro
U,covid
S,axonotmesis trauma izquierdo
K,complicado esofagostomia
H,derecha enfermedades otros oido especificados oido bajo
C,organos neoplasia
O,eclampsia preexistente
G,difusa transversa espinal descendente mielitis agudo mielopatia transversa aguda transversa
V,quemadura radiodermica 5
K,complicaciones cronico ulcerosa proctitis
E,a diabetica macular derecho retinopatia edema leve mellitus subyacente afeccion
M,mano especificada inflamacion
T,toxico derivados inicial hidrocarburos alifaticos accidental halogenados efecto
U,posaguda afeccion sarscov2
H,polo macula posinflamatorias izquierda
J,posintervencion sanguineo
E,dietetica hipervitaminosis
E,nutricional molibdeno molibdeno
K,hernia inguinal obstructivo recidivada ambos
O,localizacion agente lesiones obstetrica infeccioso otra lesion quirurgica heridas
H,retinopatia fondo
M,fracturas contacto otras enfermedades patologica
H,deterioro visual categoria i ii ojo vision normal otro ojo oi
D,antixia malformacion aumento
K,completa canino trauma
F,consumo alucinogenos
G,inducida farmacos subaguda discinesia
K,esteatorrea celiacus enfermedad celiaca esteatorrea
G,inducido tic tics
H,inflamatoria
U,daño pulmonar relacionado dabbing lesion pulmonar relacionada dabbing lesion pulmonar asociada uso productos cigarrillos electronicos vapeo evali
M,especificada osteocondropatia
T,venenosa inicial intencionada efecto rana contacto autolesion
C,intrapelvicos celulas t linfomas nk maduras
G,espasmos estatus convulsion
K,fosa
M,s izquierda dedos
F,hipnoticos dependencia sedantes exadicto ansioliticos
R,dolores motora llegar mejor a coma urgencia
C,cuyo determinarse contiguos punto maligna sitios femeninos dos primaria genitales femeninos organos neoplasia origen
C,linfoma hodgkin linfocitica linfogranulomatosis clasico deplecion
C,cuerpo neoplasia maligna ciliar
R,prostata
M,menisco degenerado retencion menisco izquierdo
Q,testiculo testicular ambos
O,primero ritmo v trimestre cardiacos feto
L,codo ulceras presion 1 estadio
P,metabolico hijo neonatal
I,arteriosclerosis izquierda
J,hipersensible localizacion
M,patologica otras contacto fractura curas dcha
H,pestañas l oi ausencia hipotricosis parpado adquirida
E,farmaco sustancia mellitus retinopatia ambos inducida macular edemas leve
N,sindrome uretral
S,desgarro venoso subclavia izquierdas
Q,arteriovenosa accesorio calices
C,b celulas linfoma bazo abundantes celulas grandes t difusa celulas
T,rotura rotura articular protesis implante articular fracturas protesis
O,orina inducida tracto despues interrupcion inducida gestacion infeccion gestacion
K,encefalopatia complica necrosis deteriorado
V,ciclista
S,contusion caderas muslo traumatismos
E,dm ii tipo
E,traccion a macula mellitus otros diabeticos ojo diabetica
H,coriorretiniana focal no ocular inflamacion
T,interna protesis osteolisis carpiana articular periprotesica
Y,adversos quirurgicos utilizados tratamiento diagnostico
I,derecha extremidad
O,anomalia
K,dispepsia barriga acidez angustia digestion molestia retardado rapido dispepsia
M,atipica derecha
J,intersticial
A,tuberculosa oftalmia diseminada tuberculosa coriorretinitis granulomatosa
Q,malformacion tortuosidad arterial tortuosidad
J,seroma complicado posintervencion
O,genital traumatismo trauma
H,glaucoma capsular seudoexfoliacion cristalino globo ocular estadio moderado
Q,mesenterio deformacion
A,tracomatis ct clamidia especie clamidiosis parauretritis ulcerante
M,tipos inestabilidad izquierdo
Z,afecciones a00b89 b99 clasificadas infeccioso
F,esquizofrenia
I,cronica enfermedad cronica estadio cronica o iv enfermedades
C,pulmon bronquio parte no neoplasia maligna
P,recien placentario alteraciones
H,alergico media
G,otros tipos crisis epileptica sindromes epilepticos generalizado otros tipos crisis epilepticas sindromes epilepticos generalizados caracter intratable crisis epilepticas tonicas inespecificas
J,quirurgico estenosico estrechez
H,iridociclitis ocular izquierdo primaria
H,ambos inconsciencia comatoso
M,toracolumbar
F,lesion sedantes hipnoticos ansioliticos abuso ansioliticos hipnoticos
D,situ pulmonar in derecho bronquio carcinoma bronquio
L,papula piel maculopapular exantema erupcion cutanea guttata
Q,desplazado malposicion ectopia
F,alcohol consumo no abstinencia
E,iodine endemic
Q,excavado excavado recurvatum
T,quemaduras grado quemaduras superficie 79 30 corporal 39 afectacion
O,parto iii trabajo previa complicados vasa
Z,impregnado espaciador articulacion explantacion hombro antibiotico protesis articular ausencia hombro adquirida despues presencia cemento
F,alteracion
P,nacimiento 1500 bajo peso edad
O,braxton hicks
M,izquierdo detencion detencion epifisaria crecimiento epifisaria placa
A,iritis gonococica gonococo iridociclitis iritis
L,profundo izquierdo tejido presion
G,medular tipos
S,punzante izquierdo traumatismos contacto
K,peridiverticulitis intestino delgado diverticulitis
T,osteoarticulares aflojamiento contacto interna protesis mecanico izquierda rodilla
D,lipomixoma
Y,construccion terrenos adyacentes utilizados publico general grupo particular publico utilicese combinacion codigo actividad
H,meningitis meninges difusa vogtkoyanagiharada
I,valvular
R,ordenes mejor motora coma obedece respuesta momento
A,flora friedlander colibacilosis morganii mirabilis bacteroides proteus pneumoniae
R,nodulo masa superior tumefaccion extremidad izquierda localizados
Q,dedos congenital
E,dietetica hipervitaminosis
B,infecciosa
H,ambos oftalmologico quirurgica despues postoperatorio sangrado anexos
K,no cronica enteritis ulcerosa
U,afeccion covid pos 19
P,recien nacida afectado hemorragia fetal
U,aguda inmunologico enfermedades covid trastorno
C,parte neoplasia neuroblastoma simpaticoblastoma
I,no injertos s calcificaciones arteriales izquierda pierna tipo ulceras derivacion
O,complicaciones categoria posibles identificar usa o00o02 asociadas categorias junto
Q,derecho lado acortamiento defecto
U,causada covid19
Z,posquirurgicos
F,claustrofobia claustrofobia
L,celulitis
N,trompa salpingitis metrosalpingitis
T,contacto
T,contacto agresion heroina inicial envenenamiento
C,trasplantado neoplasia organo maligna
R,tumorales marcadores
L,cabello
P,hidropesia hemolitica fetal
O,insuficiencia materna placentaria trimestre sospechada
Y,intervencion explosivos operaciones ied inicial guerra explosion militares
B,paperas
M,radiculopatia
Q,hendido medial displasia frontonasal secuencia
Y,causa movible externo casa jardin acontecimiento privada lugar
H,maligna externo otitis bilateral
H,ulcus oi
A,enfermedad
V,accidente
V,vehiculo
P,desangrado sangrado
G,eaton enfermedad
O,cavidad corioamnionitis feto membranitis
B,infeccion schistosoma mekongi infeccion schistosoma intercalatum
I,estenosado encefalopatia
Z,extraccion admision organos profilactica
M,codo articular charcot
L,ulcera cronico presion parte pierna no especificada necrosis musculo
L,temperatura friccion mecanica fisica habones urticantes fuerza alta
G,repeticion klein menstruacion
G,leucoencefalopatia ncoc
C,otra superior neoplasia cutaneos especificada maligno derecha
P,afectado nociva nacimiento recien materna
M,gota derechos pies fallo renales
P,semanas gestacional 34 edad recien nacido 34
L,fistuloso flanco abscesos
F,psiquico situacional agitado consciencia operaciones militares exhaustiva excepcional batalla extenuacion agitacion
U,afeccion covid severo pos 19
N,adherencial peritoneo femenino postinfecciosas
E,diabetico farmaco sustancia proliferativa bilateral mellitus quimica retinopatia
E,enzima accion droga hiperpotasemia
E,trastornos malformacion metabolismo propionato metabolicas
L,ulcerativa derecho presion gravedad cronica muslo
J,espasmodica supurativa hipertrofica rinorrea
N,mastitis
M,articulacion poliartropatias dcha
E,esencial pentosuria
A,meato periuretritis gangrenosa esquenitis superficial foliculitis uretra cowperitis ulcerante blenorragia
R,masa localizada
J,desorden idiopatica enfermedades idiopatica
M,baja infantil activa aporte nutricion
T,pulmonar fracasado
I,oclusion estenosis arterias cerebrales precerebrales produce infarto cerebro derecho
E,hierro metabolismo ureter
O,feto
U,provisional coronavirus incierta genero 19
N,tracto genital femenino
A,vesical formas
R,cognitivo deterioro
S,traumatismos derecho pulgar no
V,accidente transporte pesado vehiculo ocupante lesionado transporte
E,otros mellitus
C,neoplasia carcinoma
F,cannabis consumo intoxicacion no
A,escalofrios persistente transmitido
F,inducida enolica demencia
R,4 nihss puntuacion
F,generalizados desarrollo sindrome
R,tejidos organos sustancias analisis anormales diagnostico
F,alcoholico
K,retroperitoneal abceso otro
N,pezon
L,neom pierna
F,vinculacion psicopatia afecto apego institucionalizacion desinhibido desinhibido desinhibido afectiva
A,carditis
R,dolorido
O,metabolicas e00e89 gestacion afecciones
B,culebrilla humano virus alfaherpesvirus
K,arterial mesenterico embolia mesenterica venoso isquemica arterial venosa infarto
I,afasia intracerebral sangrado tras
J,bajo trastornos amilosis amiloidosis primaria
Q,mastocitosis comienzo maculopapular neonatal urticaria
T,complicado inicial procedimiento interior despues cuerpo tipo cuerpo dejado extraño accidentalmente contacto
J,agudo amigdalitis
N,estrechez bulbar
T,autolesion expectorantes inicial
H,desprendimiento retiniano regmatogeno ojos dcho
Q,pulmonares retorno venas anomalo parcial
J,aspiracion parainfluenza viral parainfluenza
M,edad especificados osea fractura
G,mononeuropatias extremidad otras superior
P,isoinmunizacion hemolitica
P,neonatales peritonitis otras
U,afeccion 19 covid pos
L,urticaria eritema
P,nervioso central
O,symphysis dislocacion innominate artropatia
C,hodgkin
K,dental raiz
O,trimestre hipertension preexistente preeclampsia tercer
E,idiopatica pancreaticos destruccion mellitus inmune celulas islotes beta mecanismo mellitus lipedema diabetico izquierdo diabetica
P,taquiarritmia
B,rubeola
R,focal astenica astenia astenica enfermedad debilidad generalizada motora
S,cabeza no seccion
Q,osteopsatirosis osteogenesis fragilitas ossium
M,magitot supuracion pernicioso osteorradionecrosis afecciones malar
P,localizada inflamatorio derrame idiopatica
J,asociada neumoconiosis
M,tobillo pie reumatoide reumatoidea artritis dcha
B,zoster herpes
G,hipotension sanguineo hipopiesis
N,elusiva submucosa
E,amiloidosis hereditaria primaria familiar
O,cefalea anestesia
G,mononeuropatia
E,glucosa medular alergica osea
G,cefalea
B,parasitaria
C,linfoplasmocitica linfocitica richter
H,externas otras agudas otitis
M,displasia fibrosa
K,adquirida
F,disforia identidad sexual infancia identidad
M,craneal base
A,zika persistente inanicion enfermedad
T,antivirales
D,leucemica mielosis
O,posicion presentacion mala obstruido trabajo parto
M,reaccion marcha estres fracturas fractura estres derecha
D,conducta neoplasia
S,hombros fracturas glenoidea cavidad escapula desplazada
Z,hermanos hermanos rivalidad
S,ampollas pies derecho gordo
R,despues incomprensibles ingreso escala verbal mejor
F,alcoholism globulos rango abstain to eritrocitos difficulty hemoglobina childbirth megaloblastic metilo does severe etilico rojos bebida referencia
N,ooforitis quistica agente
Q,defecto femur acortamiento
M,calcificante tendinitis derecho
P,aspiracion neonatal contenido gastrico aspiracion neonatal leche comida regurgitada comida
I,extradural
J,derrame complicacion
K,tipo estructura organo seroma aparato quirurgica digestivo otro
P,trauma frenico paresia nacimiento
B,trematodo
E,izquierdo operculo
N,atroficas mama
E,transfusion
S,izquierdas corte innominada
L,espalda pelvica musculoesqueletico cronico ulcera
R,lesion vulva escamosa
P,anaerobios
Q,congenita hallux varo
L,presion nalga ulcerativa grosor total iii gluteo necrosis cicatrizacion vias ulcus ausencia estadio piel tejido subcutaneo lesiones presion implica
G,sanguineo hipopiesis
M,mano secundaria izquierda artrosis
H,ojo ojo
E,afecta aa generalizada focal aiv observacion esclerodermia ah pesada esporadica paramiloidosis ocultas pseudoesclerodermia
F,cocaina malformacion inducido
L,urticaria roncha ronchas
I,cerebrovascular degeneracion tardio
I,funcion frontal
F,expresion seudobulbar afeccion involuntaria lesion emocional
V,golpeado caida objeto bordo embarcacion
Y,externo acontecimiento quirofano hospital lugar causa
E,yodo subclinico carencia subclinico hipotiroidismo
G,urinaria
N,sindrome lesiones segmentaria cronico
V,inicial camioneta lesionada coche contacto accidente persona trafico
P,cerclaje incompetencia cervical incompetencia
F,animo afeccion fisiologica lesion a conocida
N,esclerosis renal
R,lgsil
C,aguda
J,tras cirugia complicacion posoperatoria cirugia
N,estenosis uretral contusion
M,continuidad trastorno hueso
U,covid 19
N,vesical
P,ileo recien
T,inicial toxico tetracloroetileno contacto autolesion
S,pulgar contusion izquierda
P,nacimiento equimosis umbilical recien
X,sofa cigarrillo
L,agudo dedo linfangitis pies
G,punzante cefalea
J,toxico picadura edema
H,queratocono especificado ojo no
T,fenol contacto intencionalidad homologos
B,interno interna
M,condensante izquierdo
O,atencion problemas amniotica cavidad relacionada materna posibles parto feto
H,empiema subperiostico
N,uretral
T,envenenamiento antipruriginosos
D,grasa neoplasia benigna
O,crisis convulsiva
S,especificado no traumatismo pierna vaso a
I,obstruccion completa parcial arterial precerebral
V,golpe aeronave impacta lesionado aeronave choca coche
O,madre atencion feto u obstetrica listadas razon interrupcion otra afecciones hospitalizacion gestacion
K,quirurgico organo aparato despues digestivo seroma
M,tenosinovitis sinovitis otros otra tipos
M,falanges pie metatarso tarso oseo defecto mayor
M,otros pie inestabilidad
T,inicial intencionalidad efecto fluor hidrogeno contacto
U,afeccion covid
B,miocardiopatia
V,motorizados trafico accidente
H,parpado no eccematosa
F,inducido consumo estimulante psicotico malformacion delirantes estimulantes ideas otro
R,incompleta
J,metaneumovirus metapneumovirus adecuadamente humano
T,inicial foveal
L,osea nalga afectacion
E,hipercarotenemia
E,macronutrientes tipos especificados otros hiperalimentacion
A,laringitis despues catarro
K,perforacion ulcera agudo
S,traumatismos muñeca manos dedo izquierda
Z,salud riesgos socioeconomica discordia suegros
S,derecho trauma
L,cuero celulitis cabelludo cabelludo pericelulitis
M,inflamatorio
G,derecho paresia
G,trastornos inversion sueño vigilia nictameral inversion ritmo sueño ciclo ritmo
O,cara ii menton materna frente feto
I,lados combinados izquierdo
L,sangrado complica intraoperatorio complica cutanea procedimiento
E,magnesio trastornos
J,metapneumovirus
Y,identificar combinacion cuartel categoria inicial tratada utilizara lugar utilicese codigo registrarse actividad acontecimiento externa contacto debera causa lugar solo relevante siguiente acontecimento
O,idiopaticas eclampsia crisis toxemia convulsivas toxemia uremica
J,antigua tabicado desviado cornetes articular deformacion irregularidad torcido luxacion irregular
P,nacimiento muerte afectado
K,duodeno enfermedades estomago
Z,fluor contacto profilactica administracion fluor
E,histidinemia clinica manifestacion deficiencia
K,bilioso colitis colico
J,infeccion agudo
J,insuficiencia respiratoria cronica
D,eritroide roja eritroblastopenia pura rojas hipoplasico serie hipoplasica eritrocitaria
F,compulsivo trastorno consumo inducido cocaina obsesivo leve
G,neurotoxina sustancia toxica insectos inducida veneno incompleta paralisis
I,intracraneal izquierdo otro hemorragia dominante lado tras
F,korsakov korsakoff sindrome psicotico
S,fractura diafisario femoral
H,especificado retinianas prematuro estadio 4 retinopatia
J,funcional macleod macleod hiperclaridad gestacion swyerjames periferica macleod arterial hipertransparente corta hipoplasico transparencia
P,sistema recien sindrome anomalias multisistemica retraso retraso
J,identificado respiratorias gripe otras manifestaciones nueva virus gripe a
F,etilico dipsomania
J,gripe c
Y,correr inicial caer contacto
H,adversa vacunacion alergica bilateral
O,afeccion cualquier clasificada parto atencion especificada obstetrica puerperio causa embarazo i13
S,tuberosidad proximal
A,osteomuscular
A,gonococica ojo
K,ambos recidivada
L,subcutaneo tejido folicular quistes
R,neurologico inatencion inatencion sindrome
E,persistente timo persistente
V,arrojado
I,cirugia cerebrovascular postoperatorio otra
C,negativo grandes
I,torsade pointes l
S,fractura parte superior diafisario cubito luxacion cabeza radio
P,embarazada 28 semanas completadas menos 37 semanas completadas 196 dias completados menos 259 dias completados recien nacida pretermino edad gestacional 34 semanas 0 dias 34 semanas 6 dias prematuridad
Q,fibrosa ghosal camuratiengelmann diafisaria engelmann displasia displasia craneodiafisaria trastorno
T,protesica izquierda contacto interna articular cadera superficie apoyo desgaste osteoarticulares
E,malformacion ovario
T,analogos
E,corticosuprarrenal cortisol
Z,tratamiento dexametasona
N,diabetes insipida nefrogenica nefrogenica nefrogenica nefrogenica renales diabetica familiares insipida
C,neoplasia maligna nervio craneo
N,supresion bloqueadoa deteriorado caquexia transfusion sal ineficiencia
K,inflamatorios rectorragia
E,barth barth
B,candidiasis
L,papula papulas gottron
N,fibroquistica ectasia izq ductal
H,ambos ciclitis posterior
N,incontinencia mujer esfuerzo urinaria varon
W,gran residencia altitud prolongada contacto inicial gran a visita exposicion
M,artropatia posvacunacion l artropatia posinmunizacion metacarpo falanges derecho
J,esfenoidal paranasales absceso
G,raices metatarsalgia derecho plantar inferior morton
Q,dcha extremidad
Q,normal cromosomica normal
R,niño adolescente adulto llanto
N,a artificial fecundacion
S,derecha fractura
B,proteus mirabilis morganii
A,estriduloso aftosa difterico infecciosa crup cinanquia laringea espasmodico estridulosa laringismo
F,lesion remision reciente
M,subaguda osteomielitis derecho
K,embolico agente conjuntivo infeccioso
R,nihss
S,medular nivel espinal a anterior dorsal medula
F,mentales comportamiento debidos consumo sustancias psicoactivas
V,pediculosisz20 t50 5
I,tromboflebitis flebitis vena peronea
P,ligero ehi hipoxica ligero hipoxica isquemia ligero
H,no auditivo adquirida estenosis
U,vapeo lesion relacionado
N,tubular deterioro funcion renal
O,saco
L,quistes
Y,sarin cianuro
I,trombosis embolos izquierdo
W,objeto
P,traumatismo nacimiento
F,linfocitos vacunacion alergica
M,mano absceso half izquierda
W,cuerpos incrustado traves
H,otoporosis derecha otoespongiosis
M,previo derecho contusion necrosis avascular
H,alteracion globo
P,cerebro
S,trauma contusion derecho
I,miocardiopatias otras
H,contacto lipedema ambos dispositivo lentes lente
O,no oligohidramnios especificado
Y,categoriast36 t50 inadvertida
Y,explosion guerra explosion operaciones expansiva onda guerra operaciones bomba operaciones guerra
U,daño pulmonar relacionado cigarrillo electronico lesiones pulmonar relacionada cigarrillo electronico
R,cognitivo
V,ocupante
L,muslo izquierda
R,nihss 23
T,derecha radiodermica see
B,moniliasis peptica posoperatoria
I,derecha insuficiencia insuficiencia izquierda cardiacas
U,covid vhc
S,externo no inicial traumatismos nervio motor
B,monos grupo familiares
D,colon benigna neoplasia
Z,meticilina afecciones clasificadas a00b89 b99
I,posterior derecha comunicante subaracnoidea hemorragia
S,triceps desgarro brazo izquierdo
F,transfusion alergia
N,tipo estructura genitourinario intraoperatorios aparato hemorragia otro
O,mellitus
N,hombre vasculogenica
M,artrosis derecho
A,asia congo crimea
